name,bulletin_number,effective_date,states_involved,property_type,collect_deductible,esl,estimating_software,pricing,customer_service_contacts,special_conditions
"State Auto Insurance (includes State Automobile Mutual, State Auto P & C, State Auto Ohio, State Auto Wisconsin, State Auto Florida, Farmers Casualty, Meridian, Beacon Lloyds, Beacon National, Patrons Mutual Ins. Co. of CT, Milbank, Litchfield Mutual Fire)",4410-F,9/13/2013,All U.S. States,R & C,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,24-hour contact center phone: 800-766-1853,BOTH LOCAL AND CALL CENTER JOBS MUST BE UPLOADED FOR AUDIT TO SERVPRO CORPORATE THROUGH SCANER.
State Farm,3467-F-3,10/10/2016,All U.S. States,R,"Yes, unless otherwise instructed", NA ,Xactimate,State Farm price list,"Refer to XactAnalysis Assignment                                                  State Farm’s general claim number: 844-458-4300
Fax number:   (844) 236-3646
Email:              statefarmfireclaims@statefarm.com",SNAPA Acct.  refer to bulletin; handle all jobs as if they were PSP jobs. (Bulletin #4714-F)    Customer Service Conditions also should be listed on FNOL; notifications and approvals required; see bulletin for complete details.
"State National Ins. Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
Steadfast Ins. Co. ( Subsidiary of Zurich),4601-F,9/5/2014,Franchises in all U.S. States,C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F.,"Amy Chiarelli, Vendor Program Manager, phone 847-413-5705",THIS IS A SNAPA ACCOUNT.
"Sussex Insurance Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
Tennessee Farm Bureau,4932-SF,3/7/2016,U.S. Franchises in TN,R & C,"No, the deductible will be applied elsewhere on the claim.","2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,Contact the local regional claim center.  Hours:  M-F 7:00am-6:00pm;  Sat. 8:00am-4:00pm,
Texas Farm Bureau,4100-SF,5/30/2012,U. S. Franchises in TX,R,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"1-800-266-5458; Claims Operations Supervisor Richard Child, Phone 254-751-2315","Category 1 water losses, use top-down drying methodology when appropriate under IICRC guidelines. Block furniture and use top-down drying methods when appropriate . Do not remove carpet or wood flooring without prior adjuster approval."
Texas Heritage (subsidiary of Germania Ins.),3967-SF,9/2/2011,U. S. Franchises in TX,R & C,No,"2,500 ",Xactimate 27.3,Use the most current price list provided by Xactimate® for your area.,1-800-392-2202,Germania Insurance requires utilization of the Drying Workbook on all residential water losses.
The Hartford,3739-F-3,6/27/2016,All U.S. States,R & C,Yes ,"2,000 ",Xactimate 28,Use the most current price list provided by Xactimate® for your area.,1-800-243-5860,This is a SNAPA Account; Refer to Bulletin for special conditions.
"Torus National Ins. Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
"Torus Specialty Ins. Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
Tower Hill Insurance Group,3539-SF,8/11/2009,U.S. Franchises in FL,R,"Yes, if mitigation only. If structure or contents is involved contact the adjuster to have deductible applied to that portion of the claim.","2,500 ",Xactimate,Use most current price list provided by Xactimate® for your area.,Randy Kerlin at 1-800-216-3711.,"Tower Hill requests that Franchise is on site within 2 hours; however, Franchise must arrive within 4 hours from FNOL.  Apply antimicrobial if biohazard exists. Advise claims handler prior to removing or drilling into permanently attached items such as cabinets, basesboards, drywall, etc."
Travelers Mid-Atlantic,3383-SF,8/13/2008,"U.S. Franchises in DE, MD, VA, WV",R,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Richmond: 1-800-635-4543, Chantilly: 1-800-368-3562, Baltimore & Hunt Valley: 1-800-842-0091.  ","These guidelines do not apply to contents. If contents cleaning or packout involved, contact adjuster immediately on how to proceed."
Trumbull Insurance Co. - FOLLOW GUIDELINES FOR THE HARTFORD,3739-F,8/11/2010,All U.S. States,R & C,Yes ,"2,000 ",Scaner,Refer to pricelist groups in bulletin,1-800-243-5860,refer to bulletin
Twin City Fire Ins. Co. - FOLLOW GUIDELINES FOR THE HARTFORD,3739-F,8/11/2010,All U.S. States,R & C,Yes ,"2,000 ",Scaner,Refer to pricelist groups in bulletin,1-800-243-5860,refer to bulletin
Universal Insurance Company - Pilot Program ,3832-SF,3/7/2011,U.S. Franchises in KY and TN,R & C,"Yes, if emergency services are performed.","2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Gary Johnson, Claims Manager-800-288-8050 x 8261 Gary.johnson@uicnc.com",Scope and upload into ScanER whether or not work is performed (compensation may be claimed for performing services)
"Universal Property & Casualty (includes Universal Holding Company of Florida, Universal Insurance Holdings, Inc., and American Platinum Prop. & Cas.)",4980-SF,5/23/2016,"DE, FL, GA, HI, IN, MD, MA, MI, MN, NC, PA, SC",R & C,yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"1-800-425-9113, Colleen Schilling, ext. 6210",
Universal Underwriters (Subsidiary of Zurich),4601-F,9/5/2014,Franchises in all U.S. States,C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F.,"Amy Chiarelli, Vendor Program Manager, phone 847-413-5705",THIS IS A SNAPA ACCOUNT.
Verlan Fire Ins. Co. (subsidiary of Hanover Insurance),4635-F-3,8/24/2015,All U.S. States,R,yes,"3,000 ","Xactimate, Version 28",Use the most current price list provided by Xactimate for your area.,"Contact water mitigation specialist assigned to the file; if not available, Water Mit. Dept. at 800-628-0250 or e-mail to hanovermit@hanover.com.      After hours:  AL, FL, GA, KY, MD, NC, SC, TN, VA: 508-855-4235;        MA, CT, RI: 508-855-4237;        ME, NH, VT: 508-855-4238;        DE, NJ, NY, PA, WV: 508-855-4245;        AR, KS, LA, MO, ND, OK, SD, TX: 508-855-4243;        IA, MN, WI, and Michigan Area Codes of 248,313,586,734,810:  517-540-3280;        IN,IL,OH,AK,AZ,CA,CO,HI,ID,MT, NV, NM, OR, UT, WA, WY, Western Canada, and Michigan Area Codes of 269,906,231,616,517,989:  517-540-4811",THIS IS A SNAPA ACCOUNT.  Notes must be entered inDryBook.  Initial upload required.  See bulletin for other requirements.
Virginia Farm Bureau,4226-SF,12/11/2012,U. S. Franchises in VA,R,Yes,"2,500 ",Xactimate,Use the most current price list provided by Xactimate® for your area.,Claims Service Center: 1-800-452-7714,
Voyager Property & Casualty Insurance (subsidiary of Assurant),3337F,4/3/2008,All U.S. States,R,NO,"5,000 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Claims 1-800-652-1262;  Renee’ Collins - Claims Manager Choice Product 770-763-1385 or 800-326-2845 x 11385
(770)763-1385","If refusal of service, contact adjuster immediately and communicate scope of repairs; attempt to take photos of building and loss."
Wadena Insurance (affiliated with IMT Group),3692-SF,6/8/2010,"U. S. States of IA, IL, NE, SD, WI",R & C,"Yes, with adjuster approval.","2,500 ",Xactimate,Use most current price list provided by Xactimate for your area.,"Jim Todd, Sr. Claims Mgr. 515-327-2865 or 1-800-274-3531",Use Drying Workbook
Warner Insurance (Subsidiary of Fireman's Fund),3780-F,11/1/2010,All U.S. States,R & C,"NO.  Any coverage issues must be discussed with adjuster, not the insured.","2,500 ","Xactimate for these states:  CT, DE, DC, ME, MD, MA, NH, NJ, NY, PA, RI, VT, VA.                                                ScanER for all other states.  If adjuster requests Xactimate, contact National Accounts for approval.","For Xactimate: Use the most current price list provided by Xactimate for your area.                       For ScanER, use Trainer regional price list.","1) Assigned Adjuster
2) Fireman’s Fund: Phone 800-870-8857
","SNAPA Acct.  Fireman's Fund ATP must be used  (attached to bulletin 3780-F; also on ServproNET/SNAPA/Fireman's Fund/Forms). Add'l reasons to notify adjuster: If mitigation losses exceed : personal $20,000; commercial $50,000. If material is unique (bamboo, custom, expensive, etc.), whoe-house content manipulation, inability to service loss (due to size, complexity, etc.). Use DRYING WORKBOOK."
"Wellington Claim Service, Inc.",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
"Wellington Insurance Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
West Bend Mutual Insurance,3543-SF-2,10/24/2016,"U.S. Franchises in IL, IN, IA, MI, MN, OH, WI",R & C,Yes ," R  $5,000
C  $5,000 ", Xactimate,Use the most current price list provided by Xactimate® for your area.,"Scott Thomas, Claims Manager-1-800-236-5010 ext 6461",
West American Insurance Company (subsidiary of Safeco),4043-F,2/29/2012,All U.S. States,R,Yes, NA ,Scaner,Refer to pricelist groups in bulletin,1-800-332-3226,SNAPA Acct.  Refer to bulletin
West American Insurance Company (subsidiary of Safeco),3752-F,9/7/2010,Only Participating Franchises,R,Yes,"2,500 ",Xactimate,Current price list,1-800-332-3226,SNAPA Acct.  Refer to bulletin
West American Insurance Company (subsidiary of Safeco),4034-F,2/16/2012,All U.S. States,R & C,Yes,"5,000 ","Under 100,000-Xactimate  Over 100,000-T&M with adjuster approval",Current price list,1-800-332-3226,SNAPA Acct.  Refer to bulletin
Western World Insurance Group,3930-SF,7/20/2011,"U. S. Franchises in CA, OR, WA (Participation is contingent upon  approval by Western World Insurance Group and SERVPRO Commercial Large Loss Division and Large Loss Response Team.)",C ,No,"10,000 ","At time of initial inspection:  Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use most curent T & M Price List.","Bob Montone, Second Vice President - Western World Insurance Group, Phone 201-847-2837, r.montone@westernworld.com, Claims Dept.: 1-888-847-8600 ","For Franchises that offer board-up, use 1/2"" plywood OSB in windows and door openings, openings made in a building's exterior by fire, vehicle, or other type damage. For Franchises that offer Roof Temps/Tarpaulin Application: Nondestructive methods are to be used to affix the tarpaulin to roof surface when making temporary covering for shingle loss in situaations where the roof deck is undamaged. Only the portion of the roof necessary to secure areas of missing shingless or cover holes should be covered."
"Westfield Insurance, Westfield National Insurance",4064-SF,4/3/2012,"U. S. Franchises in AZ, CO, DE, FL, GA, IL, IN, IA, KY, MD, MI, MN, NM, NC, OH, PA, SC, TN, VA, WV, WI",R & C,Contact the Adjuster whether to collect the deductible.," R  $2,500                            C  $5,000  ","At time of initial inspection:  Xactimate, if loss is considered to be $100,000 or less, excluding subcontract work.  Time & Materials, if loss is considered to be greater than $100,000, excluding subcontract work.","For Xactimate, use most current price list provided by Xactimate for your area.  For Time  Materials, use price list attached to bulletin.","Westfield Insurance Customer Care Center: Phone 866-937-2663, Corry Novosel: Phone 724-776-7200",SNAPA Acct.  Contact adjuster immediately and obtain direction on how to proceed if content cleaning or packout is involved (not included in this program). Water mitigation performed solely in conjunction with fire/smoke job should be included in fire/smoke estimate.  Use DRYING WORKBOOK.
Wilson Mutual (subsidiary of Motorists Mutual),4099-SF-2,4/11/2014,"U. S. States of IA, IL, IN, KY, MA, ME, MI, MN, NE, NH, OH, PA, RI, SC, VT, WI, WV",R & C,Yes,"3,000 ",Xactimate,Use most current price list provided by Xactimate for your area.,Claims Center Phone 800-876-8766; Fax 800-365-2562,Notify adjuster of Category 1 water losses prior to removal of drywall or carpet.  LOCAL JOBS MUST BE UPLOADED.
Windsor-Mount Joy Mutual Insurance,4081-SF,5/3/2012,"U. S. Franchises in DE, IN, MD, MA, NJ, NC, OH, PA, VA",R,Yes ,"2,500 ",Xactimate,Use the most current price list provided by Xactimate for your area.,"Ed Campbell, Sr. Claims Manager, Phone: (717)733-8648, Ext .218, Fax: (717)733-1983",
"Worth Casulaty Co. (subsidiary of Wellington Claim Service, Inc.)",4916-SF,3/28/2016,TX,R & C,yes,"2,500 ",Xactimate,Current price list,800-447-6465 or 817-738-1878,
Zurich,4601-F-3,7/3/2016,Franchises in all U.S. States,R & C,yes, No ESL established ,"Xactimate for all losses estimated at less than $50,000, excluding subcontract.  Time and Materials for all losses estimated at more than $50,000, excluding subcontract.",Xactimate: Use Zurich Xactimate Profile.    Time and Materials: Use T & M Price List attached to Bulletin #4601-F2.,Claims Care Center phone:  1-800-987-3373,THIS IS A SNAPA ACCOUNT.   Use Zurich Auth. For Repairs Form and Zurich Certificate of Satisfaction Form.
